,BU_Level1,BU_Level2,BU_Level3,BU_Level4,yandex_category_id,yandex_category_name
214,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,"Брюки, леггинсы, лосины для беременных",7812906,Брюки
215,Одежда,Одежда мужская,Основная одежда мужская,Пуловер мужской,7811909,Свитеры и кардиганы
216,Одежда,Одежда мужская,Основная одежда мужская,Жакет мужской,7811899,Жакеты
217,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,Мини лыжи,91532,Беговые лыжи
218,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Ростомер,13526449,Ростомеры
219,Обувь,Обувь мужская,Обувь мужская летняя,Мужские Сандалии,7920671,Сандалии
220,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,Ножницы и бритвы парикмахерские,16642686,Инструменты парикмахера и сумки для инструмента
221,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Бутсы,8268550,Обувь для спорта
222,Галантерея,Аксессуары,Головные уборы,Женская повязка на голову утепленная,14993483,"Резинки, ободки, повязки"
223,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Шлем для бокса,294675,Спортивная защита
224,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги длинные,91275,Серьги
225,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,"Брюки, шорты, леггинсы домашние женские",7812906,Брюки
226,Галантерея,Бижутерия,Браслет бижу,Бижу браслет с подвесками,10682603,Украшения для девочек
227,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,"Шкатулка, копилка детская",6858918,Копилки
228,Продукты питания,Кондитерские изделия,Восточные сладости,Щербет,278342,"Картины, постеры, гобелены, панно"
229,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Колокольчик авторский,14441498,Прочие сувениры
230,Галантерея,Сумки,Сумка мужская,Барсетка,7812201,Сумки
231,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,"Качели, качалка детские",10683232,Качели
232,Обувь,Обувь мужская,Обувь мужская летняя,Мужские Мокасины,7814995,Мокасины
233,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Игрушка авторская,10682610,Мягкие игрушки
234,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Елочная игрушка авторская,10563370,Елочные украшения
235,Продукты питания,Кондитерские изделия,Восточные сладости,Нуга,14994924,Краски
236,Одежда,Одежда мужская,Основная одежда мужская,Блейзер мужской,7811899,Жакеты
237,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Брелок авторский,7812196,Брелоки и ключницы
238,Галантерея,Бижутерия,Браслет бижу,Бижу браслет из бусин,1634396,Браслеты
239,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Фоторамка детская,14698788,Фоторамки
