,BU_Level1,BU_Level2,BU_Level3,BU_Level4,yandex_category_id,yandex_category_name
466,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Символ года,989179,Новогодние фигурки и сувениры
467,Книги,Современная печатная книга,Современная печатная книга,Нехудожественная литература,,
468,Книги,Букинистическая книга,Букинистика,Букинистика,2417247,Электронные книги
469,Книги,Современная печатная книга,Современная печатная книга,Детская литература,987260,Детская художественная литература
470,Книги,Современная печатная книга,Современная печатная книга,Художественная литература,90829,Книги
471,Книги,Современная печатная книга,Современная печатная книга,Современная печатная книга,90829,Книги
472,Книги,Современная печатная книга,Современная печатная книга,Учебная литература,90829,Книги
473,Книги,Современные листовые издания,Современные листовые издания,Современные листовые издания,90975,Наука и образование
474,Книги,Иностранное издание,Иностранное издание,Иностранное издание,90829,Книги
475,Книги,Аудиокнига,Аудиокнига,Аудиокнига,91213,Детские фильмы
476,Книги,Современные картографические издания,Современные картографические издания,Современные картографические издания,,
477,Книги,Современная печатная книга,Современная печатная книга,Манга,90829,Книги
478,Книги,ПО на физических носителях,ПО на физических носителях,ПО на физических носителях,,
479,Книги,Современная печатная книга,Современная печатная книга,Комиксы,90829,Книги
480,Книги,Книга по требованию,Print-On-Demand,Print-On-Demand,,
481,Книги,Антикварное издание,Антикварное издание,Антикварное издание,90829,Книги
482,Книги,Second-hand книга,Second-hand книга,Second-hand книги,90829,Книги
483,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Маски и патчи для глаз,8476101,Для глаз
484,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Маска для лица,8476097,Маски
485,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Парфюмерная вода женская,15927546,Парфюмерия
486,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Туалетная вода женская,15927546,Парфюмерия
487,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Сыворотки и дополнительный уход для лица,8476099,Увлажнение и питание
488,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,"Основа, база под лак",13238924,База и верхнее покрытие
489,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Средство для улучшения ногтей и кутикулы,14990252,Лечение и укрепление
490,"Парфюмерия, косметика",Косметика для ухода за кожей,Руки,Увлажняющее средство для рук,4852773,Уход за руками
491,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Тушь для ресниц,4748062,Тушь
492,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Средство для быстрого высыхания лака,13238924,База и верхнее покрытие
493,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Средство увлажняющее для лица,8476099,Увлажнение и питание
494,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Бальзам для губ,8476102,Для губ
495,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Термальная вода,8476100,Тонизирование
496,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство моделирующее для тела,8475961,Средства для похудения и борьбы с целлюлитом
497,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Аксессуары для маникюра,14989778,Инструменты для маникюра и педикюра
498,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Маникюрная пилка,13239089,Пилки
499,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Прочие аксессуары для маникюра и педикюра,14989778,Инструменты для маникюра и педикюра
500,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Карандаш для ногтей,8510396,Контур для губ
501,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Корректор для маникюра,8480754,Корректоры и консилеры
502,"Парфюмерия, косметика",Косметика для ухода за кожей,Ноги,Дезодорант для ног,91167,Дезодоранты
503,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Жидкий шампунь для волос женский,91183,Шампуни
504,"Парфюмерия, косметика",Косметика для ухода за кожей,Ноги,Увлажняющее средство для ног,4852774,Уход за ногами
505,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Средство для снятия макияжа,8476098,Очищение и снятие макияжа
506,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Краска для волос женская,13239477,Краска
507,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Оттеночное средство для волос женское,4854062,Маски и сыворотки
508,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Гель для укладки женский,13240862,Гели и лосьоны
509,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,"Бальзам, кондиционер для волос женский",91184,Ополаскиватели
510,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Средство для умывания,8476098,Очищение и снятие макияжа
511,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Мусс для волос женский,13239527,Мусс и пенка
512,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Лак для волос женский,13239503,Лаки и спреи
513,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические аксессуары,Набор маникюрных инструментов для детей,14989778,Инструменты для маникюра и педикюра
514,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Средство для бритья женское,8480722,Средства для бритья
515,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Крем детский зимний,13491512,Уход за кожей
516,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Бальзам для губ детский,8476102,Для губ
517,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,"Крем, гель детский",13491512,Уход за кожей
518,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Масло для тела детское,8475955,Кремы и лосьоны
519,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство увлажняющее для тела,8475955,Кремы и лосьоны
520,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,"Лосьон, тоник для лица",8476100,Тонизирование
521,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Накладные ресницы,13277089,Ресницы и клей
522,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Накладные ногти,14994972,"Накладные ногти, типсы, клей"
523,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,"Молочко, лосьон для тела детское",8475955,Кремы и лосьоны
524,"Парфюмерия, косметика",Косметические средства для детей и беременных,Косметические средства для беременных и кормящих,Средство для ухода за телом до и после родов,13462769,Уход за лицом и телом
525,"Парфюмерия, косметика",Косметические средства для детей и беременных,Косметические средства для беременных и кормящих,Средство от растяжек до и после родов,13462769,Уход за лицом и телом
526,"Парфюмерия, косметика",Косметические средства для детей и беременных,Косметические средства для беременных и кормящих,Средство для ухода за грудью до и после родов,13462769,Уход за лицом и телом
527,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Жидкий шампунь для волос мужской,91183,Шампуни
528,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Карандаш для глаз,4748066,Контур для глаз
529,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Подводка для глаз,4748066,Контур для глаз
530,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Карандаш для бровей,13276918,Карандаши для бровей
531,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Основа под макияж,13276669,Основа и фиксаторы для макияжа
532,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Пилинг для лица,8476539,Скрабы и пилинги
533,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Скраб для лица,8476539,Скрабы и пилинги
534,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Жидкость для укладки женская,13239503,Лаки и спреи
535,"Парфюмерия, косметика",Декоративная косметика,Губы,Блеск для губ,4748057,Помада
536,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,"Лосьон, тоник для волос женский",8476100,Тонизирование
537,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Средство увлажняющее для глаз,8476101,Для глаз
538,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство для шеи и декольте,8476099,Увлажнение и питание
539,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство антицеллюлитное,8475961,Средства для похудения и борьбы с целлюлитом
540,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Пудра,4748072,Пудра
541,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Тональное средство,13276667,Тональные средства
542,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Маска для волос женская,4854062,Маски и сыворотки
543,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство для спа-процедур,6470214,Аксессуары
544,"Парфюмерия, косметика",Декоративная косметика,Губы,Помада для губ,4748057,Помада
545,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Окислитель для волос,13239479,Окислители
546,"Парфюмерия, косметика",Косметика для ухода за кожей,Ванно-банные принадлежности,Мочалки и губки для душа,16042844,Мочалки и щетки
547,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Средство защищающее волосы от теплового воздействия,4854062,Маски и сыворотки
548,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Дополнительный уход для волос и кожи головы,4854062,Маски и сыворотки
549,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Набор маникюрных инструментов,14989778,Инструменты для маникюра и педикюра
550,"Парфюмерия, косметика",Косметика для ухода за кожей,Руки,Маска для рук,4852773,Уход за руками
551,"Парфюмерия, косметика",Косметика для ухода за кожей,Ноги,Маска для ног,4852774,Уход за ногами
552,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Увлажнитель для лица,8476100,Тонизирование
553,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Средство для депиляции женское,91180,Средства до и после депиляции
554,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Румяна,4748074,Румяна и бронзеры
555,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,"Хайлайтер, иллюминатор",14996659,Хайлайтеры и скульптурирующие средства
556,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Крем для волос женский,4854062,Маски и сыворотки
557,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Соль для ванны,14994526,"Пена, соль, масло"
558,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Пена для ванны,14994526,"Пена, соль, масло"
559,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Масло для тела,8475955,Кремы и лосьоны
560,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Пилинг для тела,14989707,Скрабы и пилинги
561,"Парфюмерия, косметика",Парфюмерия,Ароматерапия,Эфирное масло косметическое,818945,Эфирные масла
562,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Лак для ногтей,13238898,Гель-лак
563,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Тени для век,4748064,Тени
564,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Скраб для тела,14989707,Скрабы и пилинги
565,"Парфюмерия, косметика",Косметика для ухода за кожей,Ванно-банные принадлежности,Щетка для тела,16042844,Мочалки и щетки
566,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Пемза,14989778,Инструменты для маникюра и педикюра
567,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для волос,"Расческа, щетка для волос",13243353,Расчески и щетки
568,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Средство для ухода за ресницами и бровями,14995788,Тушь и гель для бровей
569,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Средство для снятия лака,8478954,Для снятия лака
570,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Масло для волос женское,4854062,Маски и сыворотки
571,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Средство солнцезащитное детское,14993676,Средства для загара и защиты от солнца
572,"Парфюмерия, косметика",Декоративная косметика,Губы,Карандаш для губ,8510396,Контур для губ
573,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,"Корректор, консилер",8480754,Корректоры и консилеры
574,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Спонж,13277088,"Кисти, спонжи и аппликаторы"
575,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Прочие аксессуары для макияжа,13277088,"Кисти, спонжи и аппликаторы"
576,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Точилка для косметического карандаша,13858708,Точилки
577,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Тени для бровей,4748064,Тени
578,"Парфюмерия, косметика",Косметика для ухода за волосами,Набор для волос женский,Косметический набор для волос женский,8480738,Наборы
579,"Парфюмерия, косметика",Косметика для ухода за кожей,Ванно-банные принадлежности,Шапочка для душа,6527202,Аксессуары для плавания
580,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Пудра для волос женская,4748072,Пудра
581,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Гидромассажная ванночка,6203658,Гидромассажеры
582,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,"Пинцет, щипцы для ресниц, бровей",13277094,Пинцеты косметические
583,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,"Терка, скребок для ног",14989778,Инструменты для маникюра и педикюра
584,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Зеркало косметическое,13277104,Зеркала косметические
585,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Маникюрный набор электрический,14989778,Инструменты для маникюра и педикюра
586,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Триммер косметический,278373,Машинки для стрижки и триммеры
587,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Автозагар,13314823,Автозагар и средства для солярия
588,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство для загара,13314823,Автозагар и средства для солярия
589,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Солнцезащитное средство,14993676,Средства для загара и защиты от солнца
590,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Тушь для бровей,4748062,Тушь
591,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство после загара,13314841,После загара
592,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Средство для удаления кутикулы,15350596,Удаление кутикулы
593,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Прибор для очищения кожи,13203592,Приборы для ухода за лицом
594,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические аксессуары,"Расческа, щетка, гребень детские",13243353,Расчески и щетки
595,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Кисти и аппликаторы,13277088,"Кисти, спонжи и аппликаторы"
596,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,"Спрей, вода для тела",8475955,Кремы и лосьоны
597,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Духи женские,15927546,Парфюмерия
598,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Паровая сауна,6137834,Парогенераторы
599,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для волос,Бигуди,13244155,Бигуди
600,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Эпилятор,91161,Эпиляторы и женские электробритвы
601,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Средство после бритья женское,8480722,Средства для бритья
602,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Крем для волос мужской,13239550,Воск и паста
603,"Парфюмерия, косметика",Косметические аксессуары,Косметические аксессуары,Прочие косметические аксессуары,13277088,"Кисти, спонжи и аппликаторы"
604,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Косметологический аппарат,16752881,Оборудование для аппаратной косметологии и массажа
605,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,"Защитный лак, верхнее покрытие",13238924,База и верхнее покрытие
606,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Гель-лак,13238898,Гель-лак
607,"Парфюмерия, косметика",Косметика для ухода за кожей,Тело,Средство массажное,8475961,Средства для похудения и борьбы с целлюлитом
608,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Насадки для аппаратного маникюра,13239041,Аппараты для маникюра и педикюра
609,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,"Бальзам, кондиционер для волос мужской",91184,Ополаскиватели
610,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для женщин,Вода для расчесывания,"4854062,989024","Маски и сыворотки,Средства для купания"
611,"Парфюмерия, косметика",Косметика для ухода за кожей,Ноги,Скраб для ног,14989707,Скрабы и пилинги
612,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Клей для ногтей,14994972,"Накладные ногти, типсы, клей"
613,"Парфюмерия, косметика",Косметика для ухода за кожей,Ноги,Средство для ножных ванночек,4852774,Уход за ногами
614,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Блеск для волос женский,13239503,Лаки и спреи
615,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Воск для укладки женский,13239550,Воск и паста
616,"Парфюмерия, косметика",Декоративная косметика,"Глаза, ресницы, брови",Средство для окрашивания бровей и ресниц,13276920,Краска для бровей и ресниц
617,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Крем для губ,8476102,Для губ
618,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Паста для волос женская,13239550,Воск и паста
619,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Бронзер,4748074,Румяна и бронзеры
620,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Маникюрные ножницы,14989778,Инструменты для маникюра и педикюра
621,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для маникюра и педикюра,Маникюрные щипцы,14989778,Инструменты для маникюра и педикюра
622,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Осветлитель для волос,13239479,Окислители
623,"Парфюмерия, косметика",Косметика для ухода за кожей,Руки,Скраб для рук,14989707,Скрабы и пилинги
624,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Кератин для волос,4854062,Маски и сыворотки
625,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Тату переводное,7774311,Грим
626,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Разбавитель лака для ногтей,14995020,Жидкости
627,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Салфетки матирующие,4748072,Пудра
628,"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Фиксатор макияжа,13276669,Основа и фиксаторы для макияжа
629,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для солярия,Аксессуары для солярия,13314823,Автозагар и средства для солярия
630,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Фотоэпилятор,91161,Эпиляторы и женские электробритвы
631,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Скраб для губ,8476539,Скрабы и пилинги
632,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Химическая завивка,15001132,Для химической завивки
633,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Насадки для дарсонваля,1001393,Приборы для ухода за телом
634,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для волос,Парики и пряди,15453780,Парики и шиньоны
635,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для мужчин,Краска и оттеночное средство для волос мужские,14993540,Оттеночные и камуфлирующие средства
636,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Средство после загара детское,13314841,После загара
637,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Электрозавивка для ресниц,15000738,Зажимы и расчески для ресниц
638,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Разогреватель воска,15019493,Воскоплавы и парафиновые ванны
639,"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Стерилизация и дезинфекция для салона красоты,16724218,Стерилизация для салонов красоты
640,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Одеколон женский,15927546,Парфюмерия
641,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Набор детской косметики для ухода,8480736,Косметика и духи
642,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Лампа для маникюра,13239135,Лампы для сушки
643,"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Сыворотки и дополнительный уход для глаз,8476101,Для глаз
644,"Парфюмерия, косметика",Косметика для ухода за волосами,Набор для волос мужской,Косметический набор для волос мужской,8480738,Наборы
645,"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Сумка косметолога/визажиста,7812212,Косметички и бьюти-кейсы
646,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Средство после депиляции женское,91180,Средства до и после депиляции
647,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Парфюмерный набор женский,15927546,Парфюмерия
648,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Термобигуди,13244155,Бигуди
649,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Глина для укладки женская,13625828,Глина
650,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,"Лосьон, тоник для волос мужской",8476100,Тонизирование
651,"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Дезинфицирующее средство,90518,Дезинфицирующие средства
652,"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Тушь для волос,4748062,Тушь
653,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство для загара в солярии,13314823,Автозагар и средства для солярия
654,"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Прочее оборудование для салонов красоты,16724149,Мебель для салонов красоты
655,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Масло для волос мужское,4854062,Маски и сыворотки
656,"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство от солнечных ожогов,13314841,После загара
657,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Помада для губ детская,4748057,Помада
658,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Атомайзер,15927546,Парфюмерия
659,"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Набор средств для депиляции женский,13314796,Восковая эпиляция
660,"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Насадки для эпилятора,8278683,Аксессуары для электробритв и эпиляторов
661,"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Маникюрный стол,16724149,Мебель для салонов красоты
662,"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,"Массажный стол, кресло",1009491,Массажные столы и стулья
663,"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Маска для волос мужская,4854062,Маски и сыворотки
664,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Тушь для ресниц детская,4748062,Тушь
665,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Сумки, чехлы для парикмахерских инструментов",13559277,Принадлежности для салонов красоты
666,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Развлекательная настольная игра,10682647,Настольные игры
667,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Аксессуары для настольных игр,10682647,Настольные игры
668,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Игра - ходилка,10682647,Настольные игры
669,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Карточные игры, кубики игральные детские",13887834,Карточные игры
670,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Домино, МаДжонг",10682647,Настольные игры
671,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Шахматы, шашки, нарды детские",13887809,"Шахматы, шашки, нарды"
672,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Лото русское, бинго",13887899,Домино и лото
673,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Настольный футбол, хоккей для детей",13491603,"Настольный футбол, хоккей, бильярд"
674,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Викторина,10682647,Настольные игры
675,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Гадание и аксессуары,14312405,Гадания и предсказания
676,Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Наушники,90555,Наушники и Bluetooth-гарнитуры
677,Электроника и электротовары,Аксессуары для электроники,Электропитание,Типовая батарейка,90626,Батарейки и аккумуляторы
678,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Объектив,90613,Объективы
679,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Машинка для стрижки,278373,Машинки для стрижки и триммеры
680,Электроника и электротовары,Бытовая техника,Климатическая техника,Погодная станция,477439,Цифровые метеостанции
681,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Фен-щетка,16336734,Фены и фен-щётки
682,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Фен,16336734,Фены и фен-щётки
683,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Бритва электрическая,90570,Электробритвы мужские
684,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Бленда для фото,91153,Насадки и крышки на объективы
685,Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Микрофон,90551,Микрофоны
686,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Компьютерная акустическая система,90548,Акустические системы
687,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Триммер электрический,15646187,Триммеры
688,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Щипцы для волос электрические,16336768,"Щипцы, плойки и выпрямители"
689,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Электрическая зубная щетка,278374,Электрические зубные щетки
690,Электроника и электротовары,Бытовая техника,Климатическая техника,Увлажнитель воздуха,734595,Очистители и увлажнители воздуха
691,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Наушники компьютерные,6368403,Компьютерные гарнитуры
692,Электроника и электротовары,Аксессуары для электроники,Электропитание,Аккумуляторы,90436,Аккумуляторные батареи
693,Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Веб-камера,4684840,Веб-камеры
694,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Стайлер,16336768,"Щипцы, плойки и выпрямители"
695,Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Выпрямитель для волос,16336768,"Щипцы, плойки и выпрямители"
696,Электроника и электротовары,Бытовая техника,Климатическая техника,Вентилятор,15724921,Вентиляторы вытяжные
697,Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство сетевое,91503,Зарядные устройства и адаптеры
698,Электроника и электротовары,Аксессуары для электроники,Электропитание,Сетевой удлинитель,15618862,Удлинители и сетевые фильтры
699,Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Чехол для фото,90616,"Сумки, чехлы для фото- и видеотехники"
